+------+-------------+-----------------------+-------------+-------------+
| Rank |  Drug Name  |      Target Name      | Interaction | Probability |
| 185  |  44199317.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 186  |   27447.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 187  |   126388.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 188  |     UNK     | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 189  |  5717737.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 190  |  73415769.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 191  |  4908365.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 192  |  9795056.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 193  |    2267.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 194  |  16134627.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 195  |  10474339.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 196  |   72301.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 197  |  25017320.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 198  |    2477.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 199  |   71141.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 200  |   656516.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 201  |   17134.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 202  |  11844351.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 203  |   43708.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 204  |  1550234.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 205  |    6127.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 206  |  5311093.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 207  |   54343.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 208  |   456255.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 209  |   151166.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 210  |    1683.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 211  |  4284525.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 212  | 129009953.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 213  |  11255684.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 214  |    3344.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 215  |  5284527.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 216  |  71621663.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 217  |  54576693.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 218  |  2772320.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 219  |    2998.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 220  |   636822.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 221  |   65820.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 222  |     UNK     | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 223  |    5714.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 224  |  5277135.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 225  |    4619.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 226  |   672296.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 227  |   667594.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 228  |    3039.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
